n_estimators,max_depth,no_of_features,train_accuracy,test_accuracy,selected_features
1,1,1,0.5278884462151394,0.7142857142857143,['fbs']
1,1,1,0.6424302788844621,0.42857142857142855,['ca']
1,1,1,0.6030876494023905,0.35714285714285715,['thalach']
1,1,1,0.6424302788844621,0.42857142857142855,['ca']
1,1,1,0.5293824701195219,0.42857142857142855,['trestbps']
1,1,1,0.6454183266932271,0.2857142857142857,['sex']
1,1,1,0.5323705179282868,0.6428571428571429,['restecg']
1,1,1,0.545816733067729,0.35714285714285715,['cp']
1,1,1,0.545816733067729,0.35714285714285715,['cp']
1,1,1,0.7076693227091634,0.5714285714285714,['slope']
1,1,1,0.5587649402390438,0.7857142857142857,['age']
1,1,1,0.545816733067729,0.35714285714285715,['cp']
1,1,1,0.6454183266932271,0.2857142857142857,['sex']
1,1,1,0.598605577689243,0.5,['thal']
1,1,1,0.5278884462151394,0.7142857142857143,['fbs']
1,1,1,0.5293824701195219,0.42857142857142855,['trestbps']
1,1,1,0.5991035856573705,0.2857142857142857,['exang']
1,1,1,0.7076693227091634,0.5714285714285714,['slope']
1,1,1,0.545816733067729,0.35714285714285715,['cp']
1,1,1,0.5323705179282868,0.6428571428571429,['restecg']
1,1,2,0.5463147410358565,0.14285714285714285,"['age', 'chol']"
1,1,2,0.5587649402390438,0.7857142857142857,"['restecg', 'age']"
1,1,2,0.7076693227091634,0.5714285714285714,"['thalach', 'slope']"
1,1,2,0.5323705179282868,0.6428571428571429,"['exang', 'restecg']"
1,1,2,0.545816733067729,0.35714285714285715,"['trestbps', 'cp']"
1,1,2,0.6454183266932271,0.2857142857142857,"['thal', 'sex']"
1,1,2,0.6454183266932271,0.2857142857142857,"['fbs', 'sex']"
1,1,2,0.7674302788844621,0.9285714285714286,"['age', 'oldpeak']"
1,1,2,0.6030876494023905,0.35714285714285715,"['oldpeak', 'thalach']"
1,1,2,0.7674302788844621,0.9285714285714286,"['age', 'oldpeak']"
1,1,2,0.545816733067729,0.35714285714285715,"['age', 'cp']"
1,1,2,0.5323705179282868,0.6428571428571429,"['chol', 'restecg']"
1,1,2,0.7674302788844621,0.9285714285714286,"['ca', 'oldpeak']"
1,1,2,0.5463147410358565,0.14285714285714285,"['slope', 'chol']"
1,1,2,0.5587649402390438,0.7857142857142857,"['fbs', 'age']"
1,1,2,0.5991035856573705,0.2857142857142857,"['age', 'exang']"
1,1,2,0.6454183266932271,0.2857142857142857,"['chol', 'sex']"
1,1,2,0.7674302788844621,0.9285714285714286,"['age', 'oldpeak']"
1,1,2,0.5463147410358565,0.14285714285714285,"['trestbps', 'chol']"
1,1,2,0.6454183266932271,0.2857142857142857,"['restecg', 'sex']"
1,1,3,0.6424302788844621,0.42857142857142855,"['ca', 'trestbps', 'cp']"
1,1,3,0.598605577689243,0.5,"['thal', 'fbs', 'ca']"
1,1,3,0.5991035856573705,0.2857142857142857,"['exang', 'restecg', 'sex']"
1,1,3,0.5587649402390438,0.7857142857142857,"['age', 'slope', 'exang']"
1,1,3,0.6030876494023905,0.35714285714285715,"['thalach', 'exang', 'restecg']"
1,1,3,0.5293824701195219,0.42857142857142855,"['trestbps', 'sex', 'oldpeak']"
1,1,3,0.5278884462151394,0.7142857142857143,"['fbs', 'thal', 'trestbps']"
1,1,3,0.6424302788844621,0.42857142857142855,"['ca', 'restecg', 'trestbps']"
1,1,3,0.598605577689243,0.5,"['thal', 'exang', 'thalach']"
1,1,3,0.5293824701195219,0.42857142857142855,"['trestbps', 'slope', 'thal']"
1,1,3,0.545816733067729,0.35714285714285715,"['cp', 'restecg', 'ca']"
1,1,3,0.7674302788844621,0.9285714285714286,"['oldpeak', 'trestbps', 'exang']"
1,1,3,0.5278884462151394,0.7142857142857143,"['fbs', 'ca', 'exang']"
1,1,3,0.5278884462151394,0.7142857142857143,"['fbs', 'exang', 'oldpeak']"
1,1,3,0.5991035856573705,0.2857142857142857,"['exang', 'cp', 'slope']"
1,1,3,0.7076693227091634,0.5714285714285714,"['slope', 'fbs', 'restecg']"
1,1,3,0.7076693227091634,0.5714285714285714,"['slope', 'oldpeak', 'cp']"
1,1,3,0.5323705179282868,0.6428571428571429,"['restecg', 'thalach', 'slope']"
1,1,3,0.5323705179282868,0.6428571428571429,"['restecg', 'sex', 'fbs']"
1,1,3,0.5587649402390438,0.7857142857142857,"['age', 'sex', 'cp']"
1,1,4,0.7674302788844621,0.9285714285714286,"['sex', 'oldpeak', 'cp', 'thalach']"
1,1,4,0.7076693227091634,0.5714285714285714,"['cp', 'thalach', 'oldpeak', 'slope']"
1,1,4,0.5991035856573705,0.2857142857142857,"['fbs', 'exang', 'oldpeak', 'cp']"
1,1,4,0.6030876494023905,0.35714285714285715,"['chol', 'restecg', 'age', 'thalach']"
1,1,4,0.7674302788844621,0.9285714285714286,"['slope', 'oldpeak', 'thal', 'ca']"
1,1,4,0.5293824701195219,0.42857142857142855,"['fbs', 'trestbps', 'slope', 'cp']"
1,1,4,0.598605577689243,0.5,"['sex', 'thal', 'trestbps', 'restecg']"
1,1,4,0.7674302788844621,0.9285714285714286,"['slope', 'age', 'trestbps', 'oldpeak']"
1,1,4,0.6424302788844621,0.42857142857142855,"['sex', 'ca', 'oldpeak', 'thal']"
1,1,4,0.6424302788844621,0.42857142857142855,"['exang', 'trestbps', 'chol', 'ca']"
1,1,4,0.5463147410358565,0.14285714285714285,"['thal', 'restecg', 'slope', 'chol']"
1,1,4,0.7076693227091634,0.5714285714285714,"['exang', 'slope', 'restecg', 'ca']"
1,1,4,0.6454183266932271,0.2857142857142857,"['restecg', 'sex', 'thalach', 'fbs']"
