n_estimators,max_depth,no_of_features,train_accuracy,test_accuracy,selected_features
1,1,1,0.5304695304695305,0.48333333333333334,['fbs']
1,1,1,0.6448551448551448,0.6833333333333333,['sex']
1,1,1,0.7402597402597403,0.65,['slope']
1,1,1,0.8181818181818182,0.5,['chol']
1,1,1,0.7672327672327672,0.7666666666666667,['thal']
1,1,1,0.7327672327672328,0.75,['exang']
1,1,1,0.5304695304695305,0.48333333333333334,['fbs']
1,1,1,0.6413586413586414,0.6166666666666667,['thalach']
1,1,1,0.7037962037962038,0.7333333333333333,['cp']
1,1,1,0.6503496503496503,0.5833333333333334,['age']
1,1,1,0.6413586413586414,0.6166666666666667,['thalach']
1,1,1,0.6413586413586414,0.6166666666666667,['thalach']
1,1,1,0.6103896103896104,0.5666666666666667,['restecg']
1,1,1,0.6103896103896104,0.5666666666666667,['restecg']
1,1,1,0.5304695304695305,0.48333333333333334,['fbs']
1,1,1,0.7037962037962038,0.7333333333333333,['cp']
1,1,1,0.5304695304695305,0.48333333333333334,['fbs']
1,1,1,0.6103896103896104,0.5666666666666667,['restecg']
1,1,1,0.7672327672327672,0.7666666666666667,['thal']
1,1,1,0.7672327672327672,0.7666666666666667,['thal']
1,1,2,0.7402597402597403,0.65,"['cp', 'slope']"
1,1,2,0.7092907092907093,0.7166666666666667,"['trestbps', 'oldpeak']"
1,1,2,0.7672327672327672,0.7666666666666667,"['slope', 'thal']"
1,1,2,0.5564435564435565,0.55,"['chol', 'trestbps']"
1,1,2,0.7672327672327672,0.7666666666666667,"['ca', 'thal']"
1,1,2,0.8181818181818182,0.5,"['fbs', 'chol']"
1,1,2,0.6448551448551448,0.6833333333333333,"['slope', 'sex']"
1,1,2,0.7092907092907093,0.7166666666666667,"['exang', 'oldpeak']"
1,1,2,0.6103896103896104,0.5666666666666667,"['cp', 'restecg']"
1,1,2,0.5304695304695305,0.48333333333333334,"['restecg', 'fbs']"
1,1,2,0.6103896103896104,0.5666666666666667,"['exang', 'restecg']"
1,1,2,0.7092907092907093,0.7166666666666667,"['ca', 'oldpeak']"
1,1,2,0.7672327672327672,0.7666666666666667,"['thalach', 'thal']"
1,1,2,0.7037962037962038,0.7333333333333333,"['oldpeak', 'cp']"
1,1,2,0.5564435564435565,0.55,"['ca', 'trestbps']"
1,1,2,0.8181818181818182,0.5,"['age', 'chol']"
1,1,2,0.8181818181818182,0.5,"['restecg', 'chol']"
1,1,2,0.5304695304695305,0.48333333333333334,"['sex', 'fbs']"
1,1,2,0.8181818181818182,0.5,"['restecg', 'chol']"
1,1,2,0.8181818181818182,0.5,"['fbs', 'chol']"
1,1,3,0.5304695304695305,0.48333333333333334,"['fbs', 'thal', 'chol']"
1,1,3,0.5304695304695305,0.48333333333333334,"['fbs', 'trestbps', 'oldpeak']"
1,1,3,0.7402597402597403,0.65,"['slope', 'sex', 'trestbps']"
1,1,3,0.6413586413586414,0.6166666666666667,"['thalach', 'thal', 'exang']"
1,1,3,0.7402597402597403,0.65,"['slope', 'age', 'thalach']"
1,1,3,0.6448551448551448,0.6833333333333333,"['sex', 'cp', 'thal']"
1,1,3,0.8036963036963037,0.8333333333333334,"['ca', 'exang', 'thal']"
1,1,3,0.6103896103896104,0.5666666666666667,"['restecg', 'trestbps', 'slope']"
1,1,3,0.8181818181818182,0.5,"['chol', 'trestbps', 'ca']"
1,1,3,0.8036963036963037,0.8333333333333334,"['ca', 'fbs', 'oldpeak']"
1,1,3,0.6413586413586414,0.6166666666666667,"['thalach', 'trestbps', 'exang']"
1,1,3,0.6503496503496503,0.5833333333333334,"['age', 'fbs', 'cp']"
1,1,3,0.6448551448551448,0.6833333333333333,"['sex', 'thalach', 'ca']"
1,1,3,0.8036963036963037,0.8333333333333334,"['ca', 'slope', 'sex']"
1,1,3,0.8181818181818182,0.5,"['chol', 'trestbps', 'age']"
1,1,3,0.6448551448551448,0.6833333333333333,"['sex', 'thal', 'thalach']"
1,1,3,0.7092907092907093,0.7166666666666667,"['oldpeak', 'thalach', 'chol']"
1,1,3,0.6413586413586414,0.6166666666666667,"['thalach', 'cp', 'age']"
1,1,3,0.7672327672327672,0.7666666666666667,"['thal', 'age', 'exang']"
1,1,3,0.8181818181818182,0.5,"['chol', 'thalach', 'exang']"
1,1,4,0.7672327672327672,0.7666666666666667,"['sex', 'thal', 'chol', 'fbs']"
1,1,4,0.7402597402597403,0.65,"['trestbps', 'slope', 'chol', 'exang']"
1,1,4,0.6448551448551448,0.6833333333333333,"['cp', 'restecg', 'thal', 'sex']"
1,1,4,0.6448551448551448,0.6833333333333333,"['restecg', 'sex', 'thal', 'trestbps']"
1,1,4,0.8181818181818182,0.5,"['cp', 'chol', 'thalach', 'age']"
