n_estimators,max_depth,no_of_features,train_accuracy,test_accuracy,selected_features
1,1,1,0.5893719806763285,0.5555555555555556,['trestbps']
1,1,1,0.6908212560386473,0.7,['oldpeak']
1,1,1,0.5893719806763285,0.5444444444444444,['chol']
1,1,1,0.6811594202898551,0.7,['slope']
1,1,1,0.6811594202898551,0.7,['slope']
1,1,1,0.7053140096618358,0.7222222222222222,['exang']
1,1,1,0.6811594202898551,0.7,['slope']
1,1,1,0.5893719806763285,0.5444444444444444,['chol']
1,1,1,0.6908212560386473,0.7,['oldpeak']
1,1,1,0.748792270531401,0.7333333333333333,['thal']
1,1,1,0.5893719806763285,0.5444444444444444,['chol']
1,1,1,0.6956521739130435,0.7444444444444445,['thalach']
1,1,1,0.7584541062801933,0.7444444444444445,['cp']
1,1,1,0.748792270531401,0.7333333333333333,['thal']
1,1,1,0.6908212560386473,0.7,['oldpeak']
1,1,1,0.5893719806763285,0.5444444444444444,['chol']
1,1,1,0.5893719806763285,0.5555555555555556,['trestbps']
1,1,1,0.5893719806763285,0.5555555555555556,['trestbps']
1,1,1,0.5410628019323671,0.5333333333333333,['sex']
1,1,1,0.6280193236714976,0.6555555555555556,['age']
1,1,2,0.5410628019323671,0.5333333333333333,"['fbs', 'sex']"
1,1,2,0.5410628019323671,0.5333333333333333,"['oldpeak', 'sex']"
1,1,2,0.5410628019323671,0.5333333333333333,"['ca', 'sex']"
1,1,2,0.5893719806763285,0.5555555555555556,"['restecg', 'trestbps']"
1,1,2,0.6956521739130435,0.7444444444444445,"['exang', 'thalach']"
1,1,2,0.6908212560386473,0.7,"['age', 'oldpeak']"
1,1,2,0.5893719806763285,0.5444444444444444,"['restecg', 'chol']"
1,1,2,0.5893719806763285,0.5555555555555556,"['sex', 'trestbps']"
1,1,2,0.7584541062801933,0.7444444444444445,"['oldpeak', 'cp']"
1,1,2,0.5893719806763285,0.5555555555555556,"['chol', 'trestbps']"
1,1,2,0.7053140096618358,0.7222222222222222,"['thalach', 'exang']"
1,1,2,0.6280193236714976,0.6555555555555556,"['slope', 'age']"
1,1,2,0.5893719806763285,0.5444444444444444,"['trestbps', 'chol']"
1,1,2,0.7246376811594203,0.7888888888888889,"['oldpeak', 'ca']"
1,1,2,0.6956521739130435,0.7444444444444445,"['trestbps', 'thalach']"
1,1,2,0.7584541062801933,0.7444444444444445,"['sex', 'cp']"
1,1,2,0.5893719806763285,0.5444444444444444,"['thalach', 'chol']"
1,1,2,0.748792270531401,0.7333333333333333,"['sex', 'thal']"
1,1,2,0.5410628019323671,0.5333333333333333,"['oldpeak', 'restecg']"
1,1,2,0.7053140096618358,0.7222222222222222,"['chol', 'exang']"
1,1,3,0.7246376811594203,0.7888888888888889,"['ca', 'age', 'slope']"
1,1,3,0.5410628019323671,0.5333333333333333,"['restecg', 'age', 'ca']"
1,1,3,0.7053140096618358,0.7222222222222222,"['exang', 'thal', 'restecg']"
1,1,3,0.7584541062801933,0.7444444444444445,"['cp', 'exang', 'sex']"
1,1,3,0.5410628019323671,0.5333333333333333,"['restecg', 'ca', 'trestbps']"
1,1,3,0.5410628019323671,0.5333333333333333,"['restecg', 'thal', 'fbs']"
1,1,3,0.7053140096618358,0.7222222222222222,"['exang', 'age', 'sex']"
1,1,3,0.5410628019323671,0.5333333333333333,"['restecg', 'chol', 'exang']"
1,1,3,0.7053140096618358,0.7222222222222222,"['exang', 'thal', 'ca']"
1,1,3,0.6908212560386473,0.7,"['oldpeak', 'ca', 'slope']"
1,1,3,0.5410628019323671,0.5333333333333333,"['restecg', 'chol', 'exang']"
1,1,3,0.6908212560386473,0.7,"['oldpeak', 'trestbps', 'chol']"
1,1,3,0.5893719806763285,0.5555555555555556,"['trestbps', 'slope', 'oldpeak']"
1,1,3,0.6908212560386473,0.7,"['oldpeak', 'chol', 'fbs']"
1,1,3,0.7053140096618358,0.7222222222222222,"['exang', 'trestbps', 'fbs']"
1,1,3,0.6280193236714976,0.6555555555555556,"['age', 'fbs', 'trestbps']"
1,1,3,0.5410628019323671,0.5333333333333333,"['fbs', 'oldpeak', 'trestbps']"
1,1,3,0.6811594202898551,0.7,"['slope', 'ca', 'thal']"
