n_estimators,max_depth,no_of_features,train_accuracy,test_accuracy,selected_features
1,1,1,0.533,0.21428571428571427,['trestbps']
1,1,1,0.533,0.21428571428571427,['trestbps']
1,1,1,0.6315,0.2857142857142857,['exang']
1,1,1,0.5685,0.35714285714285715,['thalach']
1,1,1,0.5685,0.35714285714285715,['thalach']
1,1,1,0.557,0.6428571428571429,['restecg']
1,1,1,0.5905,0.5,['thal']
1,1,1,0.7665,0.9285714285714286,['oldpeak']
1,1,1,0.5805,0.35714285714285715,['cp']
1,1,1,0.5905,0.5,['thal']
1,1,1,0.5685,0.35714285714285715,['thalach']
1,1,1,0.5685,0.35714285714285715,['thalach']
1,1,1,0.5685,0.35714285714285715,['thalach']
1,1,1,0.7665,0.9285714285714286,['oldpeak']
1,1,1,0.633,0.2857142857142857,['sex']
1,1,1,0.6055,0.7142857142857143,['chol']
1,1,1,0.5615,0.7857142857142857,['age']
1,1,1,0.5805,0.35714285714285715,['cp']
1,1,1,0.6055,0.7142857142857143,['chol']
1,1,1,0.6055,0.7142857142857143,['chol']
1,1,2,0.513,0.7142857142857143,"['thalach', 'fbs']"
1,1,2,0.713,0.5714285714285714,"['oldpeak', 'slope']"
1,1,2,0.6055,0.7142857142857143,"['age', 'chol']"
1,1,2,0.5905,0.5,"['sex', 'thal']"
1,1,2,0.6315,0.2857142857142857,"['restecg', 'exang']"
1,1,2,0.7665,0.9285714285714286,"['fbs', 'oldpeak']"
1,1,2,0.513,0.7142857142857143,"['thalach', 'fbs']"
1,1,2,0.6315,0.2857142857142857,"['fbs', 'exang']"
1,1,2,0.717,0.8571428571428571,"['oldpeak', 'ca']"
1,1,2,0.5805,0.35714285714285715,"['chol', 'cp']"
1,1,2,0.713,0.5714285714285714,"['oldpeak', 'slope']"
1,1,2,0.713,0.5714285714285714,"['chol', 'slope']"
1,1,2,0.5905,0.5,"['cp', 'thal']"
1,1,2,0.513,0.7142857142857143,"['chol', 'fbs']"
1,1,2,0.5685,0.35714285714285715,"['ca', 'thalach']"
1,1,2,0.7665,0.9285714285714286,"['slope', 'oldpeak']"
1,1,2,0.5615,0.7857142857142857,"['chol', 'age']"
1,1,2,0.5615,0.7857142857142857,"['thal', 'age']"
1,1,2,0.5905,0.5,"['oldpeak', 'thal']"
1,1,2,0.6055,0.7142857142857143,"['oldpeak', 'chol']"
1,1,3,0.557,0.6428571428571429,"['restecg', 'fbs', 'thalach']"
1,1,3,0.557,0.6428571428571429,"['restecg', 'fbs', 'exang']"
1,1,3,0.7665,0.9285714285714286,"['oldpeak', 'thalach', 'age']"
1,1,3,0.713,0.5714285714285714,"['slope', 'sex', 'chol']"
1,1,3,0.5905,0.5,"['thal', 'trestbps', 'age']"
