n_estimators,max_depth,no_of_features,train_accuracy,test_accuracy,selected_features
1,1,1,0.5905,0.5666666666666667,['restecg']
1,1,1,0.71,0.65,['slope']
1,1,1,0.6505,0.6833333333333333,['sex']
1,1,1,0.732,0.7166666666666667,['oldpeak']
1,1,1,0.7585,0.8333333333333334,['ca']
1,1,1,0.7505,0.75,['exang']
1,1,1,0.7775,0.7333333333333333,['cp']
1,1,1,0.7925,0.7666666666666667,['thal']
1,1,1,0.732,0.7166666666666667,['oldpeak']
1,1,1,0.582,0.55,['trestbps']
1,1,1,0.669,0.65,['age']
1,1,1,0.7505,0.75,['exang']
1,1,1,0.71,0.65,['slope']
1,1,1,0.5905,0.5666666666666667,['restecg']
1,1,1,0.732,0.7166666666666667,['oldpeak']
1,1,1,0.5905,0.5666666666666667,['restecg']
1,1,1,0.5905,0.5666666666666667,['restecg']
1,1,1,0.697,0.8,['thalach']
1,1,1,0.5,0.5333333333333333,['fbs']
1,1,1,0.6505,0.6833333333333333,['sex']
1,1,2,0.7585,0.8333333333333334,"['age', 'ca']"
1,1,2,0.582,0.5166666666666667,"['sex', 'chol']"
1,1,2,0.6505,0.6833333333333333,"['restecg', 'sex']"
1,1,2,0.669,0.65,"['oldpeak', 'age']"
1,1,2,0.5905,0.5666666666666667,"['exang', 'restecg']"
1,1,2,0.7505,0.75,"['oldpeak', 'exang']"
1,1,2,0.5,0.5333333333333333,"['oldpeak', 'fbs']"
1,1,2,0.582,0.5166666666666667,"['trestbps', 'chol']"
1,1,2,0.669,0.65,"['fbs', 'age']"
1,1,2,0.5905,0.5666666666666667,"['thalach', 'restecg']"
1,1,2,0.7925,0.7666666666666667,"['exang', 'thal']"
1,1,2,0.7585,0.8333333333333334,"['thalach', 'ca']"
1,1,2,0.582,0.5166666666666667,"['cp', 'chol']"
1,1,2,0.697,0.8,"['fbs', 'thalach']"
1,1,2,0.7585,0.8333333333333334,"['chol', 'ca']"
1,1,2,0.582,0.55,"['cp', 'trestbps']"
1,1,2,0.5,0.5333333333333333,"['age', 'fbs']"
1,1,2,0.6505,0.6833333333333333,"['restecg', 'sex']"
1,1,2,0.7925,0.7666666666666667,"['exang', 'thal']"
1,1,2,0.5905,0.5666666666666667,"['slope', 'restecg']"
1,1,3,0.5,0.5333333333333333,"['fbs', 'chol', 'thal']"
1,1,3,0.5,0.5333333333333333,"['fbs', 'cp', 'thalach']"
1,1,3,0.732,0.7166666666666667,"['oldpeak', 'fbs', 'thalach']"
1,1,3,0.732,0.7166666666666667,"['oldpeak', 'exang', 'cp']"
1,1,3,0.7585,0.8333333333333334,"['ca', 'restecg', 'slope']"
1,1,3,0.7925,0.7666666666666667,"['thal', 'slope', 'fbs']"
1,1,3,0.669,0.65,"['age', 'slope', 'oldpeak']"
1,1,3,0.7775,0.7333333333333333,"['cp', 'exang', 'slope']"
1,1,3,0.71,0.65,"['slope', 'restecg', 'chol']"
1,1,3,0.697,0.8,"['thalach', 'oldpeak', 'chol']"
1,1,3,0.582,0.5166666666666667,"['chol', 'age', 'exang']"
1,1,3,0.71,0.65,"['slope', 'ca', 'chol']"
1,1,3,0.697,0.8,"['thalach', 'oldpeak', 'ca']"
1,1,3,0.697,0.8,"['thalach', 'sex', 'oldpeak']"
1,1,3,0.7585,0.8333333333333334,"['ca', 'restecg', 'exang']"
1,1,3,0.582,0.55,"['trestbps', 'age', 'sex']"
1,1,3,0.582,0.55,"['trestbps', 'fbs', 'exang']"
1,1,3,0.582,0.5166666666666667,"['chol', 'thalach', 'age']"
1,1,3,0.7775,0.7333333333333333,"['cp', 'chol', 'trestbps']"
1,1,3,0.7775,0.7333333333333333,"['cp', 'thal', 'sex']"
1,1,4,0.732,0.7166666666666667,"['exang', 'age', 'cp', 'oldpeak']"
1,1,4,0.732,0.7166666666666667,"['chol', 'fbs', 'age', 'oldpeak']"
1,1,4,0.71,0.65,"['sex', 'thalach', 'thal', 'slope']"
1,1,4,0.7505,0.75,"['slope', 'restecg', 'sex', 'exang']"
1,1,4,0.6505,0.6833333333333333,"['oldpeak', 'sex', 'cp', 'fbs']"
1,1,4,0.7505,0.75,"['chol', 'exang', 'thal', 'sex']"
1,1,4,0.7925,0.7666666666666667,"['restecg', 'thal', 'chol', 'oldpeak']"
1,1,4,0.7925,0.7666666666666667,"['thalach', 'thal', 'chol', 'ca']"
1,1,4,0.5905,0.5666666666666667,"['chol', 'restecg', 'cp', 'trestbps']"
1,1,4,0.7505,0.75,"['fbs', 'exang', 'trestbps', 'age']"
1,1,4,0.732,0.7166666666666667,"['slope', 'chol', 'thalach', 'oldpeak']"
1,1,4,0.732,0.7166666666666667,"['ca', 'oldpeak', 'exang', 'slope']"
1,1,4,0.7925,0.7666666666666667,"['sex', 'thal', 'exang', 'slope']"
1,1,4,0.732,0.7166666666666667,"['cp', 'oldpeak', 'thal', 'trestbps']"
1,1,4,0.7585,0.8333333333333334,"['oldpeak', 'sex', 'chol', 'ca']"
1,1,4,0.732,0.7166666666666667,"['fbs', 'thalach', 'chol', 'oldpeak']"
1,1,4,0.732,0.7166666666666667,"['slope', 'oldpeak', 'thal', 'age']"
1,1,4,0.582,0.55,"['chol', 'fbs', 'slope', 'trestbps']"
1,1,4,0.582,0.5166666666666667,"['restecg', 'chol', 'age', 'fbs']"
1,1,4,0.7585,0.8333333333333334,"['thalach', 'restecg', 'slope', 'ca']"
1,1,5,0.7925,0.7666666666666667,"['thal', 'age', 'sex', 'slope', 'trestbps']"
1,1,5,0.7775,0.7333333333333333,"['cp', 'fbs', 'ca', 'exang', 'trestbps']"
1,1,5,0.732,0.7166666666666667,"['oldpeak', 'thal', 'restecg', 'sex', 'ca']"
1,1,5,0.7775,0.7333333333333333,"['fbs', 'slope', 'cp', 'trestbps', 'restecg']"
1,1,5,0.7775,0.7333333333333333,"['cp', 'trestbps', 'oldpeak', 'slope', 'sex']"
1,1,5,0.732,0.7166666666666667,"['restecg', 'slope', 'oldpeak', 'sex', 'age']"
1,1,5,0.7775,0.7333333333333333,"['thal', 'oldpeak', 'cp', 'chol', 'thalach']"
1,1,5,0.697,0.8,"['thalach', 'oldpeak', 'chol', 'ca', 'thal']"
1,1,5,0.7925,0.7666666666666667,"['thal', 'trestbps', 'age', 'exang', 'sex']"
1,1,5,0.669,0.65,"['restecg', 'sex', 'age', 'slope', 'chol']"
1,1,5,0.7925,0.7666666666666667,"['thal', 'restecg', 'age', 'cp', 'slope']"
1,1,5,0.732,0.7166666666666667,"['oldpeak', 'cp', 'thalach', 'fbs', 'exang']"
1,1,5,0.7775,0.7333333333333333,"['cp', 'fbs', 'thalach', 'trestbps', 'oldpeak']"
1,1,5,0.7585,0.8333333333333334,"['sex', 'exang', 'ca', 'chol', 'oldpeak']"
1,1,5,0.7925,0.7666666666666667,"['chol', 'trestbps', 'thal', 'ca', 'slope']"
1,1,5,0.7505,0.75,"['exang', 'thal', 'restecg', 'age', 'ca']"
1,1,5,0.7775,0.7333333333333333,"['cp', 'restecg', 'oldpeak', 'exang', 'slope']"
1,1,5,0.7505,0.75,"['thalach', 'age', 'exang', 'oldpeak', 'ca']"
1,1,5,0.7585,0.8333333333333334,"['oldpeak', 'restecg', 'ca', 'trestbps', 'thal']"
1,1,5,0.7585,0.8333333333333334,"['chol', 'sex', 'ca', 'cp', 'exang']"
1,1,6,0.7505,0.75,"['fbs', 'exang', 'thalach', 'slope', 'sex', 'cp']"
1,1,6,0.6505,0.6833333333333333,"['slope', 'restecg', 'thalach', 'sex', 'trestbps', 'ca']"
1,1,6,0.732,0.7166666666666667,"['cp', 'oldpeak', 'thalach', 'trestbps', 'sex', 'fbs']"
1,1,6,0.71,0.65,"['thal', 'sex', 'oldpeak', 'slope', 'cp', 'fbs']"
1,1,6,0.71,0.65,"['restecg', 'age', 'trestbps', 'slope', 'thalach', 'ca']"
1,1,6,0.732,0.7166666666666667,"['exang', 'thalach', 'fbs', 'oldpeak', 'trestbps', 'ca']"
1,1,6,0.7775,0.7333333333333333,"['exang', 'cp', 'oldpeak', 'age', 'thalach', 'fbs']"
1,1,6,0.7585,0.8333333333333334,"['restecg', 'ca', 'cp', 'slope', 'trestbps', 'oldpeak']"
1,1,6,0.71,0.65,"['sex', 'chol', 'ca', 'slope', 'thalach', 'fbs']"
1,1,6,0.5905,0.5666666666666667,"['exang', 'restecg', 'oldpeak', 'fbs', 'thal', 'chol']"
1,1,6,0.732,0.7166666666666667,"['chol', 'restecg', 'slope', 'oldpeak', 'sex', 'thalach']"
1,1,6,0.7925,0.7666666666666667,"['trestbps', 'thal', 'chol', 'ca', 'oldpeak', 'restecg']"
1,1,6,0.7505,0.75,"['thal', 'exang', 'restecg', 'slope', 'fbs', 'sex']"
1,1,6,0.7775,0.7333333333333333,"['sex', 'trestbps', 'chol', 'cp', 'oldpeak', 'thal']"
1,1,6,0.732,0.7166666666666667,"['slope', 'oldpeak', 'cp', 'restecg', 'chol', 'thal']"
1,1,6,0.7775,0.7333333333333333,"['thal', 'cp', 'trestbps', 'slope', 'restecg', 'chol']"
1,1,6,0.7925,0.7666666666666667,"['chol', 'thal', 'trestbps', 'fbs', 'oldpeak', 'slope']"
1,1,6,0.732,0.7166666666666667,"['slope', 'fbs', 'thalach', 'oldpeak', 'restecg', 'sex']"
1,1,6,0.7925,0.7666666666666667,"['age', 'slope', 'chol', 'thal', 'fbs', 'exang']"
1,1,6,0.7775,0.7333333333333333,"['sex', 'exang', 'age', 'cp', 'thal', 'trestbps']"
