n_estimators,max_depth,no_of_features,train_accuracy,test_accuracy,selected_features
1,1,1,0.564,0.4642857142857143,['trestbps']
1,1,1,0.5495,0.35714285714285715,['age']
1,1,1,0.589,0.6071428571428571,['ca']
1,1,1,0.537,0.5714285714285714,['restecg']
1,1,1,0.6055,0.6071428571428571,['thal']
1,1,1,0.537,0.5714285714285714,['restecg']
1,1,1,0.564,0.4642857142857143,['trestbps']
1,1,1,0.537,0.5714285714285714,['restecg']
1,1,1,0.5565,0.35714285714285715,['sex']
1,1,1,0.5355,0.5,['chol']
1,1,1,0.5495,0.35714285714285715,['age']
1,1,1,0.589,0.6071428571428571,['ca']
1,1,1,0.564,0.4642857142857143,['trestbps']
1,1,1,0.5565,0.35714285714285715,['sex']
1,1,1,0.5565,0.35714285714285715,['sex']
1,1,1,0.52,0.8214285714285714,['slope']
1,1,1,0.564,0.4642857142857143,['trestbps']
1,1,1,0.6055,0.6071428571428571,['thal']
1,1,1,0.537,0.5714285714285714,['restecg']
1,1,1,0.5705,0.6785714285714286,['exang']
1,1,2,0.537,0.5714285714285714,"['age', 'restecg']"
1,1,2,0.52,0.8214285714285714,"['fbs', 'slope']"
1,1,2,0.6305,0.6071428571428571,"['thal', 'fbs']"
1,1,2,0.52,0.8214285714285714,"['thal', 'slope']"
1,1,2,0.564,0.4642857142857143,"['exang', 'trestbps']"
1,1,2,0.5565,0.35714285714285715,"['ca', 'sex']"
1,1,2,0.589,0.6071428571428571,"['thalach', 'ca']"
1,1,2,0.5495,0.35714285714285715,"['restecg', 'age']"
1,1,2,0.5565,0.35714285714285715,"['cp', 'sex']"
1,1,2,0.6055,0.6071428571428571,"['fbs', 'thal']"
1,1,2,0.5565,0.35714285714285715,"['age', 'sex']"
1,1,2,0.6305,0.6071428571428571,"['exang', 'fbs']"
1,1,2,0.589,0.6071428571428571,"['sex', 'ca']"
1,1,2,0.5355,0.5,"['slope', 'chol']"
1,1,2,0.5495,0.35714285714285715,"['trestbps', 'age']"
1,1,2,0.564,0.4642857142857143,"['oldpeak', 'trestbps']"
1,1,2,0.6155,0.75,"['chol', 'oldpeak']"
1,1,2,0.537,0.5714285714285714,"['ca', 'restecg']"
1,1,2,0.5565,0.35714285714285715,"['ca', 'sex']"
1,1,2,0.6305,0.6071428571428571,"['thal', 'fbs']"
1,1,3,0.589,0.6071428571428571,"['ca', 'thalach', 'cp']"
1,1,3,0.589,0.6071428571428571,"['ca', 'slope', 'age']"
1,1,3,0.52,0.8214285714285714,"['slope', 'ca', 'chol']"
1,1,3,0.5355,0.5,"['chol', 'restecg', 'thal']"
1,1,3,0.6155,0.75,"['oldpeak', 'chol', 'restecg']"
1,1,3,0.6055,0.6071428571428571,"['thal', 'exang', 'trestbps']"
1,1,3,0.6155,0.75,"['oldpeak', 'chol', 'fbs']"
1,1,3,0.5565,0.35714285714285715,"['sex', 'cp', 'exang']"
1,1,3,0.597,0.5714285714285714,"['cp', 'ca', 'thalach']"
1,1,3,0.597,0.5714285714285714,"['cp', 'thalach', 'slope']"
1,1,3,0.5355,0.5,"['chol', 'oldpeak', 'thal']"
1,1,3,0.6155,0.75,"['oldpeak', 'exang', 'restecg']"
1,1,3,0.6055,0.6071428571428571,"['thal', 'age', 'fbs']"
1,1,3,0.537,0.5714285714285714,"['restecg', 'fbs', 'thalach']"
1,1,3,0.6055,0.6071428571428571,"['thal', 'trestbps', 'restecg']"
1,1,3,0.636,0.7142857142857143,"['thalach', 'thal', 'ca']"
1,1,3,0.636,0.7142857142857143,"['thalach', 'trestbps', 'chol']"
1,1,3,0.6155,0.75,"['oldpeak', 'trestbps', 'thalach']"
1,1,3,0.5355,0.5,"['chol', 'slope', 'cp']"
1,1,3,0.5705,0.6785714285714286,"['exang', 'age', 'thal']"
1,1,4,0.6155,0.75,"['age', 'cp', 'chol', 'oldpeak']"
1,1,4,0.6305,0.6071428571428571,"['thal', 'fbs', 'trestbps', 'thalach']"
1,1,4,0.6155,0.75,"['ca', 'thal', 'exang', 'oldpeak']"
1,1,4,0.6155,0.75,"['exang', 'ca', 'age', 'oldpeak']"
1,1,4,0.5355,0.5,"['age', 'slope', 'fbs', 'chol']"
1,1,4,0.5705,0.6785714285714286,"['thalach', 'exang', 'fbs', 'sex']"
1,1,4,0.6155,0.75,"['cp', 'oldpeak', 'thal', 'ca']"
1,1,4,0.589,0.6071428571428571,"['trestbps', 'ca', 'sex', 'slope']"
1,1,4,0.6305,0.6071428571428571,"['slope', 'exang', 'trestbps', 'fbs']"
1,1,4,0.597,0.5714285714285714,"['exang', 'trestbps', 'thal', 'cp']"
1,1,4,0.5705,0.6785714285714286,"['restecg', 'exang', 'cp', 'chol']"
1,1,4,0.6305,0.6071428571428571,"['slope', 'fbs', 'thal', 'ca']"
1,1,4,0.6305,0.6071428571428571,"['cp', 'fbs', 'age', 'oldpeak']"
1,1,4,0.5705,0.6785714285714286,"['thal', 'exang', 'trestbps', 'chol']"
1,1,4,0.6305,0.6071428571428571,"['cp', 'fbs', 'restecg', 'ca']"
1,1,4,0.5355,0.5,"['age', 'chol', 'exang', 'slope']"
1,1,4,0.6155,0.75,"['age', 'chol', 'thal', 'oldpeak']"
1,1,4,0.6055,0.6071428571428571,"['chol', 'sex', 'ca', 'thal']"
1,1,4,0.597,0.5714285714285714,"['restecg', 'cp', 'age', 'sex']"
1,1,4,0.597,0.5714285714285714,"['sex', 'cp', 'exang', 'slope']"
1,1,5,0.5495,0.35714285714285715,"['slope', 'sex', 'age', 'fbs', 'restecg']"
1,1,5,0.6055,0.6071428571428571,"['restecg', 'slope', 'thal', 'age', 'chol']"
1,1,5,0.6155,0.75,"['sex', 'age', 'oldpeak', 'thal', 'ca']"
