n_estimators,max_depth,no_of_features,train_accuracy,test_accuracy,selected_features
1,1,1,0.5832497492477432,0.55,['trestbps']
1,1,1,0.504012036108325,0.48333333333333334,['fbs']
1,1,1,0.6995987963891676,0.8,['thalach']
1,1,1,0.7778335005015045,0.7333333333333333,['cp']
1,1,1,0.6479438314944834,0.6833333333333333,['sex']
1,1,1,0.7597793380140421,0.8333333333333334,['ca']
1,1,1,0.7948846539618857,0.7666666666666667,['thal']
1,1,1,0.5907723169508525,0.5666666666666667,['restecg']
1,1,1,0.6479438314944834,0.6833333333333333,['sex']
1,1,1,0.5832497492477432,0.55,['trestbps']
1,1,1,0.6995987963891676,0.8,['thalach']
1,1,1,0.5832497492477432,0.55,['trestbps']
1,1,1,0.6479438314944834,0.6833333333333333,['sex']
1,1,1,0.5937813440320963,0.55,['chol']
1,1,1,0.5907723169508525,0.5666666666666667,['restecg']
1,1,1,0.6479438314944834,0.6833333333333333,['sex']
1,1,1,0.7071213640922769,0.65,['slope']
1,1,1,0.7948846539618857,0.7666666666666667,['thal']
1,1,1,0.7597793380140421,0.8333333333333334,['ca']
1,1,1,0.5832497492477432,0.55,['trestbps']
1,1,2,0.5907723169508525,0.5666666666666667,"['oldpeak', 'restecg']"
1,1,2,0.7948846539618857,0.7666666666666667,"['restecg', 'thal']"
1,1,2,0.6740220661985958,0.6833333333333333,"['chol', 'age']"
1,1,2,0.5937813440320963,0.55,"['trestbps', 'chol']"
1,1,2,0.7507522567703109,0.75,"['age', 'exang']"
1,1,2,0.5907723169508525,0.5666666666666667,"['sex', 'restecg']"
1,1,2,0.7597793380140421,0.8333333333333334,"['restecg', 'ca']"
1,1,2,0.7507522567703109,0.75,"['chol', 'exang']"
1,1,2,0.7778335005015045,0.7333333333333333,"['age', 'cp']"
1,1,2,0.7026078234704113,0.6833333333333333,"['slope', 'oldpeak']"
1,1,2,0.6740220661985958,0.6833333333333333,"['ca', 'age']"
